model,held_out_run,a_rul_score
RandomForest,Train1,0.41832688276007157
RandomForest,Train2,0.6283891719539845
RandomForest,Train3,0.14547446353885693
RandomForest,Train4,0.3309566824327014
RandomForest,OVERALL,0.3919181235595742
ExtraTrees,Train1,0.50938919497663
ExtraTrees,Train2,0.6088504755006956
ExtraTrees,Train3,0.14900217960454656
ExtraTrees,Train4,0.41004863680286363
ExtraTrees,OVERALL,0.43568637339255717
GradientBoosting,Train1,0.44225473219062733
GradientBoosting,Train2,0.6335210805671866
GradientBoosting,Train3,0.16909821628704552
GradientBoosting,Train4,0.3631778701552577
GradientBoosting,OVERALL,0.41362791609763017
HistGradientBoosting,Train1,0.4352352563937402
HistGradientBoosting,Train2,0.6245971304491351
HistGradientBoosting,Train3,0.18098487430595483
HistGradientBoosting,Train4,0.3510442391380651
HistGradientBoosting,OVERALL,0.40824984925312785
LightGBM,Train1,0.45054499159419764
LightGBM,Train2,0.5990152645949075
LightGBM,Train3,0.16993070216348455
LightGBM,Train4,0.3291067463245315
LightGBM,OVERALL,0.39757052756158645
Ensemble,OVERALL,0.4142757063017358
Ensemble (calibrated),OVERALL,0.4427347124389733
